,Bryce Harper,Zach Greinke,Mike Trout,Jake Arrieta,Josh Donaldson,Paul Goldschmidt,Joey Votto,Max Scherzer,Clayton Kershaw,AJ Pollock
2013,3.7,3.9,9.3,0.7,7.7,7.1,6.6,6.7,7.8,3.5
2014,1,4.3,7.9,5.3,7.3,4.5,1.9,6,7.5,3.9
2015,9.9,9.3,9.4,8.7,8.8,8.8,7.6,7.1,7.5,7.4
